anio,region_name,lall_desc_full,exportaciones,prop_exportaciones
1978,Asia,Manufacturas de alta tecnología,19199691514,0.17668963651607475
1978,Asia,Manufacturas de baja tecnología,41779280634,0.22934698079500987
1978,Asia,Manufacturas de media tecnología,64753013536,0.18585013880815796
1978,Asia,Total manufacturas,160711899947,0.18231098619541425
1979,Asia,Manufacturas basadas en recursos naturales,48263671518,0.14782771411173257
1979,Asia,Manufacturas de alta tecnología,22116012175,0.16706467158729563
1979,Asia,Manufacturas de baja tecnología,50172770658,0.22354706689732787
1979,Asia,Manufacturas de media tecnología,69397308711,0.16996413476698546
1979,Asia,Total manufacturas,189949763062,0.17400867142606782
1980,Asia,Manufacturas basadas en recursos naturales,61869140735,0.1509020554198946
1980,Asia,Manufacturas de alta tecnología,27863067199,0.1656635885214179
1980,Asia,Manufacturas de baja tecnología,60021170312,0.2338526221469299
1980,Asia,Manufacturas de media tecnología,90244947525,0.19184021161275258
1980,Asia,Total manufacturas,239998325771,0.18386933476428488
1981,Asia,Manufacturas basadas en recursos naturales,60169931820,0.16366809761129808
1981,Asia,Manufacturas de alta tecnología,33593016420,0.19845814020205518
1981,Asia,Manufacturas de baja tecnología,66401320161,0.26848312187790835
1981,Asia,Manufacturas de media tecnología,110117069894,0.23222863722175185
1981,Asia,Total manufacturas,270281338295,0.21478184029424396
1982,Asia,Manufacturas basadas en recursos naturales,57190616482,0.1695930961838663
1982,Asia,Manufacturas de alta tecnología,32664893064,0.1911868107034107
1982,Asia,Manufacturas de baja tecnología,64627526012,0.27485152878314906
1982,Asia,Manufacturas de media tecnología,101325761688,0.22244306343073394
1982,Asia,Total manufacturas,255808797246,0.2134006991422644
1983,Asia,Manufacturas basadas en recursos naturales,56569842267,0.16631698023051986
1983,Asia,Manufacturas de alta tecnología,40607490082,0.22709479692850576
1983,Asia,Manufacturas de baja tecnología,66950678612,0.2860943349658199
1983,Asia,Manufacturas de media tecnología,102366585534,0.23071193691071135
1983,Asia,Total manufacturas,266494596495,0.22269859513104523
1984,Asia,Manufacturas basadas en recursos naturales,59283597640,0.1663289968172422
1984,Asia,Manufacturas de alta tecnología,54490120630,0.266426506986204
1984,Asia,Manufacturas de baja tecnología,75523904417,0.2984579818345452
1984,Asia,Manufacturas de media tecnología,118309612130,0.24696650786855137
1984,Asia,Total manufacturas,307607234817,0.23789384329909746
1985,Asia,Manufacturas basadas en recursos naturales,60418946467,0.17144167426726145
1985,Asia,Manufacturas de alta tecnología,55462548653,0.252141908730244
1985,Asia,Manufacturas de baja tecnología,77032118836,0.2922814975598668
1985,Asia,Manufacturas de media tecnología,126415899975,0.24669101819139808
1985,Asia,Total manufacturas,319329513931,0.23682397645396192
1986,Asia,Manufacturas basadas en recursos naturales,53194518588,0.14881005526731042
1986,Asia,Manufacturas de alta tecnología,69933606850,0.26311061822475906
1986,Asia,Manufacturas de baja tecnología,92683274373,0.2849719061638335
1986,Asia,Manufacturas de media tecnología,147463798995,0.23753778695065225
1986,Asia,Total manufacturas,363275198806,0.23148879006514267
1987,Asia,Manufacturas basadas en recursos naturales,66313476096,0.15566764043233836
1987,Asia,Manufacturas de alta tecnología,87664509436,0.27014444994526987
1987,Asia,Manufacturas de baja tecnología,116874401199,0.29385908643177444
1987,Asia,Manufacturas de media tecnología,167185730969,0.2281103763172596
1987,Asia,Total manufacturas,438038117700,0.23285751676291946
1988,Asia,Manufacturas basadas en recursos naturales,83062162888,0.1651541246939112
1988,Asia,Manufacturas de alta tecnología,116418039870,0.29375548501303805
1988,Asia,Manufacturas de baja tecnología,135787357225,0.29990586794141305
1988,Asia,Manufacturas de media tecnología,198205416369,0.23353599753200185
1988,Asia,Total manufacturas,533472976352,0.24240752310762423
1989,Asia,Manufacturas basadas en recursos naturales,95454589786,0.17279098822566147
1989,Asia,Manufacturas de alta tecnología,127615407873,0.2941565789788647
1989,Asia,Manufacturas de baja tecnología,153175867654,0.3067503382122672
1989,Asia,Manufacturas de media tecnología,206245808205,0.22699407380422118
1989,Asia,Total manufacturas,582491673518,0.24329192119500184
1990,Asia,Manufacturas basadas en recursos naturales,100515444334,0.16362652507778563
1990,Asia,Manufacturas de alta tecnología,140137683824,0.27990970541040483
1990,Asia,Manufacturas de baja tecnología,171638514358,0.2951748024608137
1990,Asia,Manufacturas de media tecnología,221516393624,0.21174581279208674
1990,Asia,Total manufacturas,633808036140,0.23109961441787055
1991,Asia,Manufacturas basadas en recursos naturales,102114480748,0.1689971556223245
1991,Asia,Manufacturas de alta tecnología,159388959709,0.28842992743975365
1991,Asia,Manufacturas de baja tecnología,196744428074,0.32296943923309
1991,Asia,Manufacturas de media tecnología,246664179161,0.23020219540657005
1991,Asia,Total manufacturas,704912047692,0.24842441237546978
1992,Asia,Manufacturas basadas en recursos naturales,109227040073,0.17373101537578248
1992,Asia,Manufacturas de alta tecnología,183950101451,0.3034544176211745
1992,Asia,Manufacturas de baja tecnología,228789720533,0.33899159233187626
1992,Asia,Manufacturas de media tecnología,271958247954,0.23263973745443697
1992,Asia,Total manufacturas,793925110011,0.2578663992149301
1993,Asia,Manufacturas basadas en recursos naturales,118971358565,0.19297367950103173
1993,Asia,Manufacturas de alta tecnología,210097204660,0.3336771170008242
1993,Asia,Manufacturas de baja tecnología,242092562854,0.3652100232424673
